数据时间,车辆状态,累计里程,总电压,总电流,电池单体电压最高值,电池单体电压最低值,最高温度值,最低温度值,可充电储能子系统各温度探针检测到的温度值,可充电储能装置电压,可充电储能装置电流,单体电池电压,驾驶习惯,充电量
2022-03-27 16:28:38,2.0,210722.6,358.073,-86.947,3.992,3.96,31.24,28.357,29.211,358.073,-86.947,3.978,7.687,61.902
2022-03-27 17:01:08,1.965,322702.8,357.658,-80.973,3.986,3.952,30.359,27.838,28.722,357.658,-80.973,3.972,7.447,63.452
2022-03-27 17:08:08,2.0,316872.4,357.686,-88.136,3.988,3.958,30.748,28.015,28.853,357.686,-88.136,3.975,7.625,63.673
2022-03-27 17:22:18,1.679,255629.1,357.832,-87.938,3.99,3.959,30.298,28.069,29.059,357.832,-87.938,3.975,7.305,63.534
2022-03-27 18:00:48,2.0,371916.9,359.943,-82.984,4.009,3.979,30.701,28.26,29.433,359.943,-82.984,3.998,7.66,58.104
2022-03-27 19:48:18,2.0,97599.8,357.312,-85.88,3.976,3.935,30.167,27.877,28.792,357.312,-85.88,3.969,7.371,65.406
2022-03-28 01:55:48,2.0,305858.9,359.015,-83.336,4.002,3.97,31.438,28.516,30.139,359.015,-83.336,3.988,7.652,58.813
2022-03-28 02:05:08,2.0,270032.1,359.517,-85.116,4.008,3.972,31.236,28.488,29.962,359.517,-85.116,3.994,7.688,57.704
2022-03-28 02:40:28,2.0,133486.3,357.772,-88.43,3.986,3.943,29.371,26.841,28.164,357.772,-88.43,3.976,7.375,64.387
2022-03-28 03:13:58,2.0,223259.3,359.882,-77.384,4.006,3.961,30.393,28.074,29.259,359.882,-77.384,3.999,7.376,57.622
2022-03-28 04:05:08,2.0,280463.0,361.182,-81.103,4.022,3.981,30.808,28.16,29.626,361.182,-81.103,4.01,7.82,55.865
2022-03-28 04:23:28,2.0,210851.9,357.958,-88.631,3.991,3.959,30.648,27.242,28.211,357.958,-88.631,3.977,7.393,62.558
2022-03-28 05:10:08,2.0,309546.8,358.198,-84.252,3.995,3.957,30.277,27.638,28.95,358.198,-84.252,3.983,7.655,60.448
2022-03-28 05:15:18,1.944,322948.9,356.037,-81.878,3.967,3.932,29.625,25.431,27.854,356.037,-81.878,3.953,7.569,65.09
2022-03-28 05:32:58,2.0,317107.5,358.71,-86.534,4.002,3.969,31.016,26.835,29.333,358.71,-86.534,3.987,7.865,60.584
2022-03-28 05:40:08,2.0,255897.2,358.774,-86.037,4.0,3.969,35.038,29.762,33.009,358.774,-86.037,3.985,7.493,61.684
2022-03-28 05:40:18,2.0,372060.7,357.745,-85.848,3.986,3.957,28.331,25.925,27.303,357.745,-85.848,3.974,7.614,63.148
2022-03-28 05:46:38,3.0,365726.1,355.827,-81.266,3.971,3.941,31.264,27.833,29.911,355.827,-81.266,3.953,7.941,64.583
2022-03-28 05:59:48,2.0,240842.4,359.012,-82.755,4.004,3.971,30.862,28.454,29.841,359.012,-82.755,3.989,7.659,59.314
2022-03-28 16:15:58,2.0,309714.8,357.34,-86.798,3.986,3.948,29.265,26.447,27.801,357.34,-86.798,3.973,7.856,63.204
2022-03-28 16:33:18,2.0,211041.7,359.275,-84.314,4.006,3.974,31.159,27.897,28.82,359.275,-84.314,3.992,7.608,58.559
2022-03-28 17:07:58,2.0,256099.5,360.132,-83.433,4.017,3.984,30.911,28.242,29.453,360.132,-83.433,4.0,7.533,57.009
2022-03-28 17:09:28,2.0,317273.4,356.804,-83.447,3.979,3.949,29.007,26.126,27.385,356.804,-83.447,3.965,7.793,62.414
2022-03-28 17:27:48,2.0,372209.2,357.897,-84.758,3.987,3.958,30.276,27.418,28.544,357.897,-84.758,3.976,7.55,62.65
2022-03-28 18:30:28,2.89,365925.2,355.468,-80.426,3.967,3.937,29.692,27.103,28.65,355.468,-80.426,3.949,7.908,64.841
2022-03-28 18:48:08,1.985,97860.7,358.793,-83.521,3.993,3.95,30.511,28.301,29.311,358.793,-83.521,3.986,7.337,61.276
2022-03-29 02:07:08,2.0,270403.0,356.152,-59.964,3.971,3.938,29.13,26.411,27.83,356.152,-59.964,3.958,7.852,63.669
2022-03-29 03:04:48,2.0,223502.7,356.491,-69.894,3.969,3.925,27.926,24.667,26.391,356.491,-69.894,3.961,7.688,62.788
2022-03-29 04:00:48,2.0,280724.4,356.009,-79.525,3.964,3.927,30.154,27.084,28.739,356.009,-79.525,3.953,7.762,63.057
2022-03-29 04:46:38,2.0,309929.8,357.474,-80.947,3.987,3.949,30.175,27.708,29.011,357.474,-80.947,3.975,7.742,61.156
2022-03-29 04:47:38,2.0,317509.4,357.97,-87.696,3.993,3.961,30.402,27.136,29.031,357.97,-87.696,3.978,7.859,63.843
2022-03-29 05:03:48,1.712,323368.8,360.294,-83.126,4.015,3.98,31.312,28.552,29.801,360.294,-83.126,4.001,7.591,57.271
2022-03-29 05:51:18,2.0,372437.7,361.061,-80.847,4.023,3.992,30.548,27.968,29.352,361.061,-80.847,4.011,7.576,55.248
2022-03-29 05:53:08,2.635,366137.1,358.164,-77.375,3.998,3.966,29.628,26.672,28.481,358.164,-77.375,3.979,7.923,58.495
2022-03-29 05:54:38,2.0,241266.9,359.607,-81.31,4.01,3.978,30.874,28.63,29.745,359.607,-81.31,3.996,7.67,56.92
2022-03-29 06:00:28,2.0,256417.1,359.698,-84.946,4.011,3.979,30.88,27.512,29.372,359.698,-84.946,3.995,7.615,58.524
2022-03-29 16:12:28,2.0,310136.2,357.329,-86.783,3.985,3.948,29.843,27.522,28.398,357.329,-86.783,3.973,7.905,64.157
2022-03-29 16:41:28,2.0,211388.3,358.347,-87.138,3.995,3.963,31.077,27.962,28.864,358.347,-87.138,3.982,7.775,62.464
2022-03-29 16:50:08,2.0,317721.4,358.255,-87.881,3.995,3.965,30.589,27.791,28.666,358.255,-87.881,3.982,7.904,62.507
2022-03-29 17:09:38,2.0,256631.0,357.823,-88.15,3.99,3.959,29.924,27.473,28.419,357.823,-88.15,3.975,7.836,63.689
